SYSTEM,STANDARD_IDENTIFIER,STANDARD_DISPLAY,RANK
LOINC,7793-3,Howell-Jolly bodies [Presence] in Blood by Light microscopy,1581
LOINC,38917-1,Human metapneumovirus RNA [Presence] in Specimen by NAA with probe detection,917
SNOMED CT,82971005,Impaired mobility (finding),-1
SNOMED CT,6471006,Suicidal thoughts (finding),-1
SNOMED CT,229301009,Incentive spirometry (regime/therapy),-1
LOINC,638-7,Microscopic observation [Identifier] in Cerebral spinal fluid by India ink prep,7908
LOINC,666-8,Microscopic observation [Identifier] in Specimen by India ink prep,7397
LOINC,27365-6,Kappa light chains [Mass/volume] in Urine,4119
LOINC,38176-4,Kappa light chains.free [Mass/volume] in Urine,3798
LOINC,33559-6,Kappa light chains/Lambda light chains [Mass Ratio] in Urine,4495
LOINC,41759-2,Kappa light chains.free/Lambda light chains.free [Mass Ratio] in Urine,3739
LOINC,77023-0,Respiratory syncytial virus B RNA [Presence] in Nasopharynx by NAA with probe detection,12305
LOINC,39803-2,inFLIXimab [Mass/volume] in Serum or Plasma,2646
LOINC,5229-0,Influenza virus A Ab [Titer] in Serum by Complement fixation,7560
LOINC,5863-6,Influenza virus A Ag [Presence] in Specimen by Immunofluorescence,2088
LOINC,34487-9,Influenza virus A RNA [Presence] in Specimen by NAA with probe detection,523
LOINC,89243-0,Karnofsky Performance Status score,-1
LOINC,2514-8,Ketones [Presence] in Urine by Test strip,64
LOINC,37607-9,XR Kidney Views W contrast IV,-1
LOINC,5230-8,Influenza virus B Ab [Titer] in Serum by Complement fixation,7734
LOINC,5867-7,Influenza virus B Ag [Presence] in Specimen by Immunofluorescence,10187
LOINC,40982-1,Influenza virus B RNA [Presence] in Specimen by NAA with probe detection,465
LOINC,48766-0,Information source,6489
LOINC,36032-1,XR tomography Kidney,-1
LOINC,37062-7,XR Humerus - bilateral Views,-1
LOINC,23883-2,Inhibin A [Mass/volume] in Serum or Plasma,1425
LOINC,55758-7,Patient Health Questionnaire 2 item (PHQ-2) total score [Reported],7966
LOINC,13942-8,Spermatozoa Motile [Presence] in Semen by Light microscopy,3749
LOINC,60794-5,Inspiratory gas flow Respiratory system airway --on ventilator,-1
LOINC,3179-9,Bleeding time by Ivy method,5599
LOINC,50064-5,Ideal body weight,5334
LOINC,2458-8,IgA [Mass/volume] in Serum or Plasma,370
LOINC,2457-0,IgA [Mass/volume] in Cerebral spinal fluid,13305
LOINC,15181-1,IgA [Mass/volume] in Body fluid,16702
LOINC,26567-8,IgA lymphocytes/100 lymphocytes in Specimen,13068
LOINC,36632-8,XR Humerus - left Views,9820
LOINC,5232-4,Insulin Ab [Units/volume] in Serum by Radioimmunoassay (RIA),5907
LOINC,44877-9,Insulin dependent diabetes mellitus [Presence],1166
LOINC,2485-1,Insulin-like growth factor-II [Mass/volume] in Serum or Plasma,5295
LOINC,11087-4,Insulin Ab [Titer] in Serum,12165
LOINC,4633-4,Hemoglobin F/Hemoglobin.total in Blood by Kleihauer-Betke method,2361
LOINC,2460-4,IgD [Mass/volume] in Serum,4114
LOINC,19113-0,IgE [Units/volume] in Serum or Plasma,762
LOINC,2465-3,IgG [Mass/volume] in Serum or Plasma,416
LOINC,37738-2,XR Humerus - right Views,10096
LOINC,12722-5,Insulin-like growth factor binding protein 1 [Mass/volume] in Serum or Plasma,5278
LOINC,2484-4,Insulin-like growth factor-I [Mass/volume] in Serum or Plasma,1029
LOINC,14117-6,IgG clearance/Albumin clearance [Ratio] in Serum and CSF,2067
LOINC,14116-8,IgG synthesis rate [Mass/time] in Serum and CSF by calculation,2594
LOINC,79362-0,XR Humerus GE 2 Views,-1
LOINC,2731-8,Parathyrin.intact [Mass/volume] in Serum or Plasma,249
LOINC,27871-3,Interferon beta IgG Ab [Units/volume] in Serum or Plasma,8480
LOINC,68608-9,Summary note,-1
LOINC,33939-0,Interleukin 2 [Mass/volume] in Serum or Plasma,5968
LOINC,26881-3,Interleukin 6 [Mass/volume] in Serum or Plasma,1146
LOINC,2464-6,IgG [Mass/volume] in Cerebral spinal fluid,1905
LOINC,15183-7,IgG [Mass/volume] in Body fluid,19782
LOINC,32562-1,IgG lymphocytes/100 lymphocytes in Specimen,13111
LOINC,2466-1,IgG subclass 1 [Mass/volume] in Serum,1277
LOINC,2467-9,IgG subclass 2 [Mass/volume] in Serum,1271
LOINC,28567-6,XR Humerus Views,7861
LOINC,13629-1,Interleukin 1 beta [Mass/volume] in Serum or Plasma,6776
SNOMED CT,443846001,Detail of history of travel,-1
LOINC,12851-2,Protein Fractions [Interpretation] in Serum or Plasma by Electrophoresis,903
LOINC,59462-2,Clinical biochemist review of results,2212
LOINC,60956-0,Intracranial pressure (ICP),-1
LOINC,31444-3,Intrinsic factor blocking Ab [Presence] in Serum,3778
LOINC,2468-7,IgG subclass 3 [Mass/volume] in Serum,1273
LOINC,2469-5,IgG subclass 4 [Mass/volume] in Serum,1129
LOINC,33446-6,Airway temperature setting Ventilator,-1
SNOMED CT,414191008,Fall risk assessment,-1
LOINC,2492-7,Iodine [Mass/time] in 24 hour Urine,3142
LOINC,2495-0,Iodine [Mass/volume] in Urine,4243
LOINC,2494-3,Iodine [Mass/volume] in Serum or Plasma,3069
LOINC,17863-2,Calcium.ionized [Mass/volume] in Serum or Plasma,1243
LOINC,1994-3,Calcium.ionized [Moles/volume] in Blood,204
LOINC,36664-1,XR Hip - left 2 Views,4878
LOINC,26131-3,XR Hip - left Views,-1
LOINC,25162-9,Hyaline casts [Presence] in Urine sediment by Light microscopy,1209
LOINC,3680-6,HYDROcodone [Mass/volume] in Serum or Plasma,5335
LOINC,3679-8,HYDROcodone [Presence] in Serum or Plasma,14723
LOINC,12308-3,HYDROcodone [Presence] in Urine,3304
LOINC,19483-7,HYDROcodone [Presence] in Urine by Confirmatory method,4005
LOINC,13513-7,Iron.microscopic observation [Identifier] in Bone marrow by Potassium ferrocyanide stain,15613
LOINC,13927-9,Pancreatic islet cell Ab [Titer] in Serum,4218
LOINC,43243-5,Isobutyrylcarnitine (C4) [Moles/volume] in Serum or Plasma,2561
LOINC,76213-8,Invasive Diastolic blood pressure,10073
LOINC,76215-3,Invasive Systolic blood pressure,9676
LOINC,52797-8,Diagnosis ICD code [Identifier],743
LOINC,37721-8,XR Hip - right 2 Views,4255
LOINC,26132-1,XR Hip - right Views,-1
LOINC,3681-4,HYDROcodone [Mass/volume] in Urine,1892
LOINC,9834-3,HYDROmorphone [Presence] in Urine,3325
LOINC,18473-9,HYDROmorphone [Presence] in Urine by Confirmatory method,3992
LOINC,9835-0,HYDROmorphone [Mass/volume] in Urine,1902
LOINC,19490-2,Hydroxyalprazolam [Presence] in Urine by Confirmatory method,7395
LOINC,32648-8,Hydroxyethylflurazepam [Mass/volume] in Serum or Plasma,15676
LOINC,18337-6,Hydroxyitraconazole [Mass/volume] in Serum or Plasma,4390
LOINC,35655-0,Butyrylcarnitine (C4) [Moles/volume] in Serum or Plasma,3663
LOINC,601-5,Fungus identified in Blood by Culture,1041
LOINC,22659-7,Isoleucine [Moles/volume] in Cerebral spinal fluid,8680
LOINC,6886-6,IgA subclass 1 [Mass/volume] in Serum,7343
LOINC,6939-3,IgA subclass 2 [Mass/volume] in Serum,7317
LOINC,2483-6,Insulin-like growth factor binding protein 3 [Mass/volume] in Serum or Plasma,1698
LOINC,12723-3,Insulin-like growth factor binding protein 2 [Mass/volume] in Serum or Plasma,12357
LOINC,26610-6,Hydroxylysine [Moles/volume] in Serum or Plasma,2864
LOINC,26595-9,Hydroxylysine [Moles/volume] in Cerebral spinal fluid,8767
LOINC,20647-4,Hydroxyproline [Moles/volume] in Serum or Plasma,2824
LOINC,26596-7,Hydroxyproline [Moles/volume] in Cerebral spinal fluid,8692
LOINC,44812-6,Yeast.hyphae [Presence] in Specimen by Wet preparation,6610
LOINC,41861-6,Yeast.hyphae [#/area] in Urine sediment by Microscopy high power field,9407
LOINC,41865-7,Yeast.hyphae [Presence] in Urine sediment by Light microscopy,8915
LOINC,30531-8,Isovalerylcarnitine+Methylbutyrylcarnitine (C5) [Moles/volume] in Serum or Plasma,2233
LOINC,10989-2,Itraconazole [Mass/volume] in Serum or Plasma,4270
LOINC,55300-8,JAK2 gene exon 12 targeted mutation analysis in Blood or Tissue by Molecular genetics method,6947
LOINC,73561-3,Insulin-like growth factor-I [Z-score] in Serum or Plasma,1642
LOINC,8287-5,Head Occipital-frontal circumference by Tape measure,-1
LOINC,8289-1,Head Occipital-frontal circumference Percentile,6743
SNOMED CT,25064002,Headache (finding),-1
LOINC,8867-4,Heart rate,18
LOINC,8884-9,Heart rate rhythm,377
LOINC,26100-8,XR Calcaneus - bilateral Views,-1
LOINC,37718-4,XR Calcaneus - right 2 Views,-1
LOINC,13304-1,HLA-DR [Type],12160
LOINC,50956-2,HLA-B*57:01 [Presence],4599
LOINC,57979-7,HLA-B*15:02 [Presence],15170
LOINC,13305-8,HLA-DQ [Type],4849
LOINC,4935-3,HLA-DQ2 [Presence],5395
LOINC,41283-3,HLA-DQ8 [Presence],5439
LOINC,59019-0,HLA-DQA1 [Type] by High resolution,7092
LOINC,53938-7,HLA-DQB1 [Type],5743
LOINC,37716-8,XR Hand - right Views,-1
LOINC,716-1,Heinz bodies [Presence] in Blood by Light microscopy,10165
LOINC,33057-1,Heinz bodies/100 erythrocytes in Blood by Light microscopy,10162
LOINC,22707-4,Homocystine/Creatinine [Molar ratio] in Urine,12346
LOINC,59263-4,Human papilloma virus 16 DNA [Presence] in Cervix by Probe with signal amplification,3434
LOINC,59264-2,Human papilloma virus 18 DNA [Presence] in Cervix by Probe with signal amplification,5200
LOINC,44550-2,Human papilloma virus DNA [Presence] in Cervix by Probe,13217
LOINC,5206-8,Herpes simplex virus 1 IgG Ab [Units/volume] in Serum by Immunoassay,1337
LOINC,58786-5,Herpes simplex virus 1 IgG Ab [Units/volume] in Cerebral spinal fluid by Immunoassay,8730
LOINC,40466-5,Herpes simplex virus 1 IgM Ab [Presence] in Serum by Immunofluorescence,4326
LOINC,50758-2,Herpes simplex virus 1 IgM Ab [Titer] in Serum by Immunofluorescence,3870
LOINC,41399-7,Herpes simplex virus 1+2 IgM Ab [Units/volume] in Serum by Immunoassay,1881
LOINC,5404-9,Varicella zoster virus IgM Ab [Units/volume] in Serum by Immunoassay,2730
LOINC,25416-9,Herpes virus 6 IgG Ab [Titer] in Serum by Immunofluorescence,5227
LOINC,26972-0,Herpes virus 7 IgG Ab [Titer] in Serum by Immunofluorescence,13178
LOINC,27177-5,Herpes virus 7 IgM Ab [Titer] in Serum by Immunofluorescence,13187
LOINC,30356-0,Palmitoylcarnitine (C16) [Moles/volume] in Serum or Plasma,2459
LOINC,10374-7,Helmet cells [Presence] in Blood by Light microscopy,3640
LOINC,44008-1,Herpes simplex virus 1 and 2 IgM Ab [Interpretation] in Serum,5860
LOINC,5209-2,Herpes simplex virus 2 IgG Ab [Units/volume] in Serum by Immunoassay,1497
LOINC,45210-2,Herpes simplex virus 2 IgM Ab [Presence] in Serum by Immunofluorescence,4392
LOINC,44507-2,Herpes simplex virus IgM Ab [Presence] in Serum by Immunofluorescence,9116
LOINC,14213-3,Herpes simplex virus IgM Ab [Titer] in Serum by Immunofluorescence,6925
LOINC,5855-2,Herpes simplex virus Ag [Presence] in Specimen by Immunofluorescence,6828
LOINC,30357-8,Palmitoleylcarnitine (C16:1) [Moles/volume] in Serum or Plasma,2241
LOINC,33930-9,aPTT W excess hexagonal phospholipid (StaClot LA confirm),1530
LOINC,30358-6,Hexanoylcarnitine (C6) [Moles/volume] in Serum or Plasma,2432
LOINC,2335-8,Hemoglobin.gastrointestinal [Presence] in Stool,627
SNOMED CT,104435004,Fecal occult blood screening,-1
LOINC,21695-2,HFE gene.p.Cys282Tyr [Presence] in Blood or Tissue by Molecular genetics method,3058
LOINC,21696-0,HFE gene p.His63Asp [Presence] in Blood or Tissue by Molecular genetics method,3078
LOINC,5014-6,Herpes simplex virus DNA [Presence] in Specimen by NAA with probe detection,1546
LOINC,5859-4,Herpes simplex virus identified in Specimen by Organism specific culture,1569
LOINC,16130-7,Herpes simplex virus 1 DNA [Presence] in Specimen by NAA with probe detection,1699
LOINC,16131-5,Herpes simplex virus 2 DNA [Presence] in Specimen by NAA with probe detection,1750
LOINC,5857-8,Herpes simplex virus identified in Isolate by Immunofluorescence,12096
LOINC,30351-1,Hemoglobin [Mass/volume] in Mixed venous blood,1709
LOINC,20572-4,Hemoglobin A/Hemoglobin.total in Blood by Electrophoresis,1662
LOINC,79360-4,XR Hip - right GE 2 Views,-1
LOINC,4551-8,Hemoglobin A2/Hemoglobin.total in Blood,2068
LOINC,48707-4,Hemoglobin C crystals [Presence] in Red Blood Cells by Light microscopy,8442
LOINC,43113-0,Hemoglobin electrophoresis panel in Blood,3584
LOINC,44537-9,HTLV I DNA [Presence] in Blood by NAA with probe detection,11908
LOINC,44542-9,HTLV II DNA [Presence] in Blood by NAA with probe detection,11910
LOINC,29901-6,HTLV I+II Ab [Presence] in Serum by Immunoassay,2064
LOINC,16139-8,Neuronal nuclear Ab [Titer] in Cerebral spinal fluid,15021
LOINC,59390-5,Neuronal nuclear Ab [Titer] in Serum by Immunofluorescence,3702
LOINC,25109-0,Hydroxylysine/Creatinine [Molar ratio] in Urine,10101
LOINC,24762-7,XR Hip Views,-1
LOINC,4639-1,Unstable Hemoglobin [Presence] in Red Blood Cells,9657
LOINC,46740-7,Hemoglobin disorders newborn screen interpretation,543
LOINC,25110-8,Hydroxyproline/Creatinine [Molar ratio] in Urine,11831
LOINC,3669-9,Haloperidol [Mass/volume] in Serum or Plasma,6730
SNOMED CT,7011001,Hallucinations (finding),-1
LOINC,30313-1,Hemoglobin [Mass/volume] in Arterial blood,434
LOINC,20509-6,Hemoglobin [Mass/volume] in Blood by calculation,244
LOINC,33509-1,Hemoglobin [Mass/volume] in Body fluid,461
LOINC,26071-1,RF Hip - left Arthrogram,-1
LOINC,17783-2,Hemosiderin [Presence] in Urine by Light microscopy,6198
LOINC,29610-3,Hepatitis B virus DNA [Presence] in Serum or Plasma by NAA with probe detection,2748
LOINC,29900-8,Hepatitis B virus DNA [Mass/volume] (viral load) in Serum by Probe with signal amplification,7556
LOINC,30350-3,Hemoglobin [Mass/volume] in Venous blood,270
LOINC,7407-0,White Hickory IgE Ab [Units/volume] in Serum,3666
LOINC,26072-9,RF Hip - right Arthrogram,-1
LOINC,24764-3,RF Hip Arthrogram,-1
LOINC,44938-9,Hepatitis D virus IgM Ab [Presence] in Serum by Immunoassay,9724
LOINC,83128-9,Hepatitis E virus IgM Ab [Presence] in Serum or Plasma by Immunoassay,-1
LOINC,26379-8,XR Hand - bilateral 3 Views,6690
LOINC,52981-8,Herpes simplex virus IgG Ab [Units/volume] in Serum by Immunoassay,-1
LOINC,53560-9,Herpes simplex virus IgM Ab [Units/volume] in Serum by Immunoassay,-1
LOINC,26927-4,Herpes simplex virus 2 IgM Ab [Titer] in Serum by Immunofluorescence,3837
LOINC,25417-7,Herpes virus 6 IgM Ab [Titer] in Serum by Immunofluorescence,7344
LOINC,5403-1,Varicella zoster virus IgG Ab [Units/volume] in Serum by Immunoassay,1163
LOINC,36629-4,XR Hand - bilateral Views,-1
LOINC,30768-6,XR Pelvis and Hip - bilateral Views,8889
LOINC,30361-0,HIV 2 Ab [Presence] in Serum or Plasma by Immunoassay,1219
LOINC,56888-1,HIV 1+2 Ab+HIV1 p24 Ag [Presence] in Serum or Plasma by Immunoassay,224
LOINC,5221-7,HIV 1 Ab [Presence] in Serum or Plasma by Immunoblot,5016
LOINC,48023-6,HIV 1 proviral DNA [Presence] in Serum or Plasma by NAA with probe detection,3832
LOINC,28582-5,XR Hand Views,-1
LOINC,20447-9,HIV 1 RNA [#/volume] (viral load) in Serum or Plasma by NAA with probe detection,722
LOINC,79359-6,XR Hip - left GE 2 Views,-1
LOINC,4542-7,Haptoglobin [Mass/volume] in Serum or Plasma,625
LOINC,18396-2,HIV 1 p24 Ag [Presence] in Serum or Plasma by Immunoassay,936
LOINC,48558-1,HIV genotype [Susceptibility],5019
LOINC,25835-0,HIV 1 RNA [Presence] in Serum or Plasma by NAA with probe detection,2196
LOINC,36630-2,XR Hand - left Views,-1
LOINC,29541-0,HIV 1 RNA [Log #/volume] (viral load) in Serum or Plasma by NAA with probe detection,1116
LOINC,24013-5,HIV 1 RNA [Interpretation] in Serum,1875
LOINC,5225-8,HIV 2 Ab [Presence] in Serum by Immunoblot,7023
LOINC,29893-5,HIV 1 Ab [Presence] in Serum or Plasma by Immunoassay,1363
LOINC,11153-4,Hematocrit [Volume Fraction] of Body fluid,769
LOINC,25841-8,HIV 2 proviral DNA [Presence] in Blood by NAA with probe detection,17499
LOINC,13298-5,HLA-A [Type],8292
LOINC,13303-3,HLA-A+B+C (class I) [Type],10808
LOINC,4718-3,HLA-A1 [Presence],18579
LOINC,4731-6,HLA-A2 [Presence],17066
LOINC,13299-3,HLA-B [Type],8453
LOINC,26028-1,HLA-B27 [Presence] by Flow cytometry (FC),1528
LOINC,44725-0,HLA-B1 [Presence],-1
LOINC,13302-5,HLA-C [Type],11473
LOINC,24587-8,MR Brain WO and W contrast IV,4731
LOINC,30657-1,MR Brain WO contrast,4568
LOINC,787-2,MCV [Entitic volume] by Automated count,14
LOINC,14267-9,Methylenedioxymethamphetamine [Presence] in Urine,2350
LOINC,20651-6,Methionine [Moles/volume] in Serum or Plasma,2842
LOINC,22681-1,Methionine/Creatinine [Molar ratio] in Urine,12610
LOINC,25114-0,2-Methylcitrate/Creatinine [Molar ratio] in Urine,11618
LOINC,13964-2,Methylmalonate [Moles/volume] in Serum or Plasma,1030
LOINC,36239-2,MR Brachial plexus W contrast IV,-1
LOINC,25116-5,Methylmalonate/Creatinine [Molar ratio] in Urine,3619
LOINC,25117-3,Methylsuccinate/Creatinine [Molar ratio] in Urine,9073
LOINC,18485-3,Mi-2 Ab [Presence] in Serum,3875
LOINC,35469-6,Transferrin.carbohydrate deficient.disialo/Transferrin.carbohydrate deficient.tetrasialo [Mass Ratio] in Serum or Plasma,4593
LOINC,23906-1,Mycophenolate glucuronide [Mass/volume] in Serum or Plasma,2601
LOINC,32623-1,Platelet mean volume [Entitic volume] in Blood by Automated count,25
LOINC,37434-8,MR Heart cine for function,-1
LOINC,39140-9,MR Heart cine for blood flow velocity mapping,-1
LOINC,24629-8,MR Chest,-1
LOINC,30692-8,MR Lower extremity,-1
LOINC,36279-8,MR Breast - right WO and W contrast IV,-1
LOINC,24533-2,MRA Abdominal vessels W contrast IV,-1
LOINC,36855-5,MRA Abdominal vessels WO and W contrast IV,-1
LOINC,36156-8,MR Chest W contrast IV,-1
LOINC,36283-0,MR Chest WO and W contrast IV,-1
LOINC,30795-9,MR Breast - bilateral,-1
LOINC,36791-2,MRA Abdominal vessels,-1
LOINC,36878-7,MRA Abdominal vessels WO contrast,-1
LOINC,24590-2,MR Brain,7626
LOINC,36277-2,MR Breast - bilateral WO and W contrast IV,-1
LOINC,36437-2,MR Breast - bilateral WO contrast,-1
LOINC,35954-7,MR Breast - left,-1
LOINC,36278-0,MR Breast - left WO and W contrast IV,-1
LOINC,24593-6,MRA Head vessels W contrast IV,-1
LOINC,36881-1,MRA Head vessels WO contrast,-1
LOINC,36857-1,MRA Head vessels WO and W contrast IV,-1
LOINC,36438-0,MR Breast - left WO contrast,-1
LOINC,35955-4,MR Breast - right,-1
LOINC,36439-8,MR Breast - right WO contrast,-1
LOINC,30862-7,MRA Chest vessels,12733
LOINC,30674-6,MR Pelvis WO and W contrast IV,6646
LOINC,43528-9,MR Breast - unilateral WO and W contrast IV,-1
LOINC,69203-8,MR Guidance for biopsy of Breast - left,-1
LOINC,69213-7,MR Guidance for biopsy of Breast - right,-1
LOINC,30856-9,MRA Head vessels,-1
LOINC,24980-5,MR Thoracic spine,5846
LOINC,24935-9,MR Cervical spine,6741
LOINC,36085-9,MRA Neck vessels,9905
LOINC,36549-4,MRA Neck vessels WO contrast,-1
LOINC,46321-6,MR Orbit and Face and Neck W contrast IV,-1
LOINC,46310-9,MR Orbit and Face and Neck WO and W contrast IV,-1
LOINC,24748-6,MR Heart,-1
LOINC,24938-3,MR Cervical spine W contrast IV,-1
LOINC,30867-6,MRA Pelvis vessels,-1
LOINC,36883-7,MRA Pelvis vessels WO contrast,-1
LOINC,36197-2,MR Heart W contrast IV,-1
LOINC,30673-8,MR Pelvis WO contrast,8743
LOINC,24937-5,MR Cervical spine WO and W contrast IV,6821
LOINC,30667-0,MR Cervical spine WO contrast,5594
LOINC,24873-2,MRA Pelvis vessels W contrast IV,-1
LOINC,37497-5,MRA Spine vessels,-1
LOINC,25056-3,MR Unspecified body region,-1
LOINC,36357-2,MR Heart WO and W contrast IV,8013
LOINC,36482-8,MR Heart WO contrast,-1
LOINC,24982-1,MR Thoracic spine W contrast IV,-1
LOINC,24981-3,MR Thoracic spine WO and W contrast IV,6890
LOINC,24556-3,MR Abdomen,11452
LOINC,36091-7,MR Heart limited,-1
LOINC,24867-4,MR Pelvis,9448
LOINC,36237-6,MR Pelvis W contrast IV,-1
LOINC,36134-5,MR Abdomen W contrast IV,-1
LOINC,30658-9,MR Internal auditory canal WO contrast,-1
LOINC,785-6,MCH [Entitic mass] by Automated count,15
LOINC,24557-1,MR Abdomen WO and W contrast IV,6472
LOINC,24968-0,MR Lumbar spine,5470
LOINC,24583-7,MR Brachial plexus WO and W contrast IV,-1
LOINC,30654-8,MR Brachial plexus WO contrast,-1
LOINC,786-4,MCHC [Mass/volume] by Automated count,13
LOINC,30668-8,MR Abdomen WO contrast,8469
LOINC,24589-4,MR Brain W contrast IV,-1
LOINC,30773-6,XR Lumbar spine Single view,-1
LOINC,20510-4,Lipoprotein fractions [Interpretation] in Serum or Plasma by Electrophoresis,5525
LOINC,10580-9,Liquefaction [Time] in Semen,3898
LOINC,2524-7,Lactate [Moles/volume] in Serum or Plasma,298
LOINC,25112-4,Lactate/Creatinine [Molar ratio] in Urine,3835
LOINC,6158-0,Latex IgE Ab [Units/volume] in Serum,3718
LOINC,9766-7,Lymphocytic choriomeningitis virus IgG Ab [Titer] in Cerebral spinal fluid by Immunofluorescence,9871
LOINC,9765-9,Lymphocytic choriomeningitis virus IgG Ab [Titer] in Serum by Immunofluorescence,9993
LOINC,36636-9,XR Knee - left Views,-1
LOINC,24972-2,XR Lumbar spine Views,-1
LOINC,14334-7,"Lithium, Blood [Moles/volume] in Serum or Plasma",922
LOINC,44250-9,Little interest or pleasure in doing things in last 2 weeks,-1
LOINC,11566-7,Liver kidney microsomal Ab [Units/volume] in Serum,14048
SNOMED CT,224130005,Household composition (observable entity),-1
SNOMED CT,224118004,Number of offspring (observable entity),-1
SNOMED CT,20733006,Living place (observable entity),-1
LOINC,12215-0,Fatty acids.very long chain [Moles/volume] in Serum or Plasma,12413
LOINC,3724-2,LORazepam [Mass/volume] in Serum or Plasma,8640
LOINC,9767-5,Lymphocytic choriomeningitis virus IgM Ab [Titer] in Serum by Immunofluorescence,10621
LOINC,14804-9,Lactate dehydrogenase [Enzymatic activity/volume] in Serum or Plasma by Lactate to pyruvate reaction,526
LOINC,60024-7,Lactate dehydrogenase [Enzymatic activity/volume] in Cerebral spinal fluid by Lactate to pyruvate reaction,12262
LOINC,68453-0,Lactate dehydrogenase [Enzymatic activity/volume] in Synovial fluid by Lactate to pyruvate reaction,14463
LOINC,60022-1,Lactate dehydrogenase [Enzymatic activity/volume] in Pleural fluid by Lactate to pyruvate reaction,4790
LOINC,2536-1,Lactate dehydrogenase 1/Lactate dehydrogenase.total in Serum or Plasma by Electrophoresis,3972
LOINC,14119-2,Lactate dehydrogenase 1/Lactate dehydrogenase 2 [Enzymatic activity ratio] in Serum or Plasma,8204
LOINC,37562-6,XR Knee - left Views W manual stress,-1
LOINC,10501-5,Lutropin [Units/volume] in Serum or Plasma,567
LOINC,16205-7,LORazepam [Presence] in Urine by Confirmatory method,3983
SNOMED CT,419045004,Loss of consciousness (finding),-1
LOINC,42481-2,Human papilloma virus 6+11+42+43+44 DNA [Presence] in Cervix by Probe with signal amplification,3157
SNOMED CT,700459009,Ability to dress lower body (observable entity),-1
LOINC,8524-1,Posterior tibial artery - left Diastolic blood pressure,-1
LOINC,8540-7,Posterior tibial artery - left Mean blood pressure,-1
LOINC,8565-4,Posterior tibial artery - left Systolic blood pressure,19905
LOINC,2539-5,Lactate dehydrogenase 2/Lactate dehydrogenase.total in Serum or Plasma by Electrophoresis,3888
LOINC,2542-9,Lactate dehydrogenase 3/Lactate dehydrogenase.total in Serum or Plasma by Electrophoresis,3889
LOINC,2545-2,Lactate dehydrogenase 4/Lactate dehydrogenase.total in Serum or Plasma by Electrophoresis,3890
LOINC,2548-6,Lactate dehydrogenase 5/Lactate dehydrogenase.total in Serum or Plasma by Electrophoresis,3886
LOINC,47318-1,Liver kidney microsomal 1 IgG Ab [Units/volume] in Serum by Immunoassay,3298
LOINC,6321-4,Borrelia burgdorferi IgM Ab [Presence] in Serum by Immunoblot,2278
LOINC,6320-6,Borrelia burgdorferi IgG Ab [Presence] in Serum by Immunoblot,2345
LOINC,736-9,Lymphocytes/100 leukocytes in Blood by Automated count,37
LOINC,20650-8,Lysine [Moles/volume] in Serum or Plasma,2764
LOINC,8525-8,Posterior tibial artery - right Diastolic blood pressure,-1
LOINC,8541-5,Posterior tibial artery - right Mean blood pressure,-1
LOINC,8566-2,Posterior tibial artery - right Systolic blood pressure,19566
LOINC,5910-5,Lactate dehydrogenase isoenzymes [Interpretation] in Serum or Plasma,2774
LOINC,68387-0,Lactate dehydrogenase [Enzymatic activity/volume] in Peritoneal fluid by Lactate to pyruvate reaction,17589
LOINC,22679-5,Lysine/Creatinine [Molar ratio] in Urine,12349
LOINC,59297-2,Lacosamide [Mass/volume] in Serum or Plasma,3347
LOINC,32693-4,Lactate [Moles/volume] in Blood,313
LOINC,2519-7,Lactate [Moles/volume] in Venous blood,291
LOINC,2520-5,Lactate [Moles/volume] in Cerebral spinal fluid,3697
LOINC,14803-1,Lactate dehydrogenase [Enzymatic activity/volume] in Body fluid by Lactate to pyruvate reaction,2420
LOINC,2537-9,Lactate dehydrogenase 1 [Enzymatic activity/volume] in Serum or Plasma,11572
LOINC,14165-5,Lactate [Moles/volume] in Body fluid,5145
LOINC,74669-3,Lactobacillus sp DNA [Log #/volume] in Vaginal fluid by NAA with probe detection,2894
LOINC,40703-1,Lactoferrin [Presence] in Stool by Immunoassay,1771
LOINC,42924-1,Lactoferrin [Mass/volume] in Stool,7107
LOINC,27394-6,Lambda light chains [Mass/volume] in Urine,4398
LOINC,26113-1,XR Lower extremity - left Views,-1
LOINC,2540-3,Lactate dehydrogenase 2 [Enzymatic activity/volume] in Serum or Plasma,15795
LOINC,38178-0,Lambda light chains.free [Mass/volume] in Urine,2947
LOINC,6948-4,lamoTRIgine [Mass/volume] in Serum or Plasma,1241
SNOMED CT,422693009,Language barrier (observable entity),-1
LOINC,54899-0,Preferred language,8193
LOINC,77307-7,Lead [Mass/volume] in Venous blood,1798
LOINC,38173-1,Borrelia burgdorferi C6 Ab [Units/volume] in Serum by Immunoassay,5687
LOINC,42589-2,Borrelia burgdorferi DNA [Presence] in Body fluid by NAA with probe detection,7568
LOINC,32667-8,Borrelia burgdorferi DNA [Presence] in Blood by NAA with probe detection,7514
LOINC,5062-5,Borrelia burgdorferi IgG Ab [Units/volume] in Serum by Immunoassay,7244
LOINC,2543-7,Lactate dehydrogenase 3 [Enzymatic activity/volume] in Serum or Plasma,15677
LOINC,2546-0,Lactate dehydrogenase 4 [Enzymatic activity/volume] in Serum or Plasma,15240
LOINC,2549-4,Lactate dehydrogenase 5 [Enzymatic activity/volume] in Serum or Plasma,15115
LOINC,37758-0,XR Knee - right Views,-1
